Idusuario;Deslogin;Dessenha;Dtcadastro
6;Alinario;12345;2018-08-27 12:31:24
9;Aluno;@luno;2019-02-22 14:34:00
10;Aluno;@luno;2019-02-22 14:35:33
11;Aluno;@luno;2019-02-22 14:40:19
12;Aluno;@luno;2019-02-22 14:40:22
13;Aluno;@luno;2019-02-22 14:40:23
14;Aluno;@luno;2019-02-22 14:40:23
15;Aluno;@luno;2019-02-22 14:40:24
16;Aluno;@luno;2019-02-22 14:40:24
17;Aluno;@luno;2019-02-22 14:40:25
18;Aluno;@luno;2019-02-22 14:40:25
19;Aluno;@luno;2019-02-22 14:40:25
7;Jose;12345678;2018-08-27 15:24:25
8;Jose;12345678;2018-08-27 15:30:56
5;root;!@#$;2018-08-27 11:31:27
4;user;12345;2018-08-27 11:31:27
